Brand,Model Name,Connectivity,Price,Ratings,Reviews
Motorola,G45,5G,"12,110",4.0,109
Motorola,G45,5G,"11,999",3.7,127
Motorola,Edge 50 Fusion,5G,"23,781.",4.0,271
Motorola,G45,5G,"11,852",3.9,47
Motorola,Edge 50 Fusion,5G,"23,582",4.1,165
Moto,G85,5G,"17,833",4.1,92
Motorola,Edge 50 Fusion,5G,"23,890",4.1,119
Motorola,G64,5G,"16,209",3.8,156
Motorola,Edge 50 Pro,5G,"30,799",3.8,212
Moto,G85,5G,"17,678",4.1,82
Motorola,G35,5G,"10,565",4.0,4
Motorola,Edge 50 Fusion,5G,"21,361",4.2,90
Motorola,Edge 50 Pro,5G,"30,950",4.6,5
Motorola,G45,5G,"10,360",3.7,21
Moto,G85,5G,"19,198",4.2,54
Motorola,G45,5G,"10,468",3.1,10
Motorola,G64,5G,"14,557",4.1,199
Motorola,"Edge 50 Fusion tG (Forest Green, 12GB RAM + 256GB Storage)",nan,"23,434",4.1,19
Motorola,G85,5G,"17,569",3.4,22
Motorola,G64,5G,"16,244",3.9,88
Motorola,Edge 50,5G,"25,476",3.5,35
Motorola,G35,5G,"10,499",nan,nan
Motorola,Edge 50 Neo,5G,"21,685",3.5,25
Motorola,G05,4G,"7,420",nan,nan
Motorola,g64,5G,"16,325",3.8,135
Motorola,Edge 50 Neo,5G,"22,434",3.9,16
Motorola,G85,5G,"20,000",3.7,14
Motorola,"Edge 50 Fusion tG (Forest Green, 8GB RAM + 128GB Storage)",nan,"20,930",4.1,14
Motorola,G45,5G,"10,444",4.2,10
Motorola,Edge 50 Pro,5G,"30,275",4.0,19
Motorola,Edge 50 Neo,5G,"21,719",4.1,13
Moto,G85,5G,"19,568",3.9,47
Motorola,g64,5G,"14,569",3.8,168
Motorola,"e40 (Carbon Gray,",4G,"6,994",3.9,588
Motorola,Edge 50,5G,"26,190",3.8,31
Motorola,G64,5G,"14,482",3.9,136
Moto,G85,5G,"18,898",4.1,43
Motorola,G64,5G,"16,401",3.9,33
Motorola,Edge 50,5G,"25,198",3.6,22
Motorola,G04s,4G,"8,230",4.0,37
Moto,G85,5G,"20,485",3.7,16
Motorola,Edge 50 Neo,5G,"21,617",4.5,2
Motorola,G04s,4G,"8,099",4.4,37
Motorola,Edge 50 Pro,5G,"29,797",4.0,100
Motorola,G35,5G,"11,283",4.2,3
Motorola,Edge 50 Pro,5G,"36,890",3.7,93
Motorola,G04s,4G,"8,100",4.5,21
Motorola,Edge 50 Pro,5G,"33,399",3.0,12
Redmi,A4,5G,"9,499",4.0,800
Redmi,A4,5G,"8,299",4.0,800
Redmi,13C,5G,"9,099",4.0,"11,827"
Redmi,A4,5G,"9,499",4.0,800
Redmi,A4,5G,"8,299",4.0,800
Redmi,Note 13,5G,"15,499",3.8,"6,391"
Redmi,"A3X (Midnight Black, 64 GB) (4 GB RAM)",nan,"6,316",4.1,7
