Brand,Model Name,Connectivity,Price,Ratings,Reviews
Motorola,G45,5G,12110.0,4.0,109
Motorola,Edge 50 Fusion,5G,23781.0,4.0,271
Motorola,G85,5G,17833.0,4.1,92
Motorola,G64,5G,16209.0,3.8,156
Motorola,Edge 50 Pro,5G,30799.0,3.8,212
Motorola,G35,5G,10565.0,4.0,4
Motorola,Edge 50,5G,25476.0,3.5,35
Motorola,Edge 50 Neo,5G,21685.0,3.5,25
Motorola,g64,5G,16325.0,3.8,135
Motorola,e40 ,4G,6994.0,3.9,588
Motorola,G04s,4G,8230.0,4.0,37
Redmi,A4,5G,9499.0,4.0,800
Redmi,13C,5G,9099.0,4.0,11827
Redmi,Note 13,5G,15499.0,3.8,6391
Redmi,13,5G,12029.0,3.9,2936
Redmi,Note 14,5G,21999.0,3.8,138
Redmi,A3 ,4G,7699.0,3.7,547
Redmi,A3X ,4G,6160.0,3.7,223
Redmi,A3X ,4G,6210.0,3.7,223
Redmi,A3X ,4G,6258.0,3.7,223
Redmi,12,5G,15990.0,4.0,27092
Redmi,Note 13 Pro+ ,5G,15990.0,3.9,1121
realme,NARZO 70x,5G,11498.0,4.1,4610
realme,NARZO N61 ,4G,7498.0,4.0,1620
realme,NARZO N65,5G,12498.0,4.0,2065
realme,NARZO 70 Turbo,5G,16998.0,4.2,2025
realme,GT 6T,5G,28998.0,4.3,3093
realme,13+,5G,21498.0,4.0,35
realme,12+,5G,17948.0,3.8,173
realme,C65,5G,11299.0,4.0,142
realme,12X,5G,12640.0,4.1,166
realme,12x,5G,12765.0,4.1,218
realme,C61,4G,7096.0,4.1,17
realme,P1,5G,13954.0,4.0,143
realme,13 Pro,5G,23899.0,3.9,33
realme,C61,4G,7199.0,4.0,40
realme,C63,5G,10899.0,3.8,22
realme,P1 Speed,5G,15999.0,3.5,5
Oppo,F27 Pro+,5G,27999.0,3.9,453
Oppo,K12x,5G,14498.0,3.8,17
Oppo,F27,5G,22999.0,3.6,162
Oppo,A3 Pro,5G,17999.0,3.8,239
Oppo,A3X,5G,12499.0,3.4,103
Oppo,A3,5G,15999.0,3.9,57
Oppo,Reno 12 Pro,5G,33910.0,4.4,37
Oppo,Reno10 Pro,5G,29350.0,3.8,59
Oppo,Reno 12,5G,27980.0,3.0,8
Oppo,Reno 10 Pro+,5G,39890.0,5.0,1
Oppo,Reno 11 Pro,5G,31270.0,3.3,32
Oppo,F21 Pro,5G,17990.0,4.1,2222
Oppo,A59,5G,14789.0,4.1,133
Oppo,F25 Pro,5G,23999.0,4.1,428
Vivo,T3x,5G,14499.0,4.1,123
Vivo,T3 Lite,5G,11699.0,3.6,93
Vivo,Y18i ,4G,7999.0,4.0,77
Vivo,Y29,5G,15499.0,5.0,1
Vivo,V40e,5G,26999.0,3.0,2
Vivo,T3,5G,17329.0,4.4,22
Vivo,T3X,5G,12424.0,4.0,47
Vivo,Y28e,5G,11499.0,3.7,102
Vivo,V30,5G,25749.0,4.1,29
Vivo,V40,5G,34999.0,3.5,6
Vivo,Y58,5G,17499.0,4.0,77
Vivo,Y18t ,4G,9499.0,4.6,5
Vivo,Y300,5G,15990.0,4.1,38
Vivo,V30e,5G,24748.0,4.4,54
Vivo,Y200,5G,19999.0,4.1,972
Vivo,Y28s,5G,13890.0,4.1,146
Vivo,Y200e,5G,17999.0,4.1,349
Vivo,T2x,5G,15990.0,4.1,750
Vivo,Y300 Plus,5G,21899.0,3.6,17
Samsung,Galaxy M05 ,4G,6499.0,3.9,1631
Samsung,Galaxy M15,5G,12999.0,4.0,1821
Samsung,Galaxy M35,5G,16999.0,4.1,6356
Samsung,Galaxy M14,4G,8045.0,4.0,446
Samsung,Galaxy F15,5G,12205.0,4.0,146
Samsung,Galaxy S23 FE,5G,37050.0,3.8,1328
Samsung,Galaxy A35,5G,24385.0,3.5,74
Samsung,Galaxy A14,5G,11962.0,3.9,2421
Samsung,Galaxy A16,5G,16499.0,3.2,55
Samsung,Galaxy M55s,5G,20999.0,3.7,802
Samsung,Galaxy S23,5G,45995.0,4.2,68
Samsung,Galaxy M04,4G,7999.0,4.0,23079
Samsung,Galaxy M13 ,4G,15990.0,4.1,11802
Samsung,Galaxy A06 ,4G,8450.0,4.0,5
